file_path,line,current_term,context,category,decision,replacement,notes
src/components/HelixDetailPanel.svelte,81,selectedNode.sibling.toUpperCase(),"{selectedNode.sibling.toUpperCase()}",anchor,KEEP,,"Dynamic agent ID — value canonical"
src/components/HelixTooltip.svelte,20,Sibling badge + path,"<!-- Sibling badge + path -->",internal-only,KEEP,,"HTML comment"
src/components/HelixTooltip.svelte,23,node.sibling.toUpperCase(),"{node.sibling.toUpperCase()}",anchor,KEEP,,"Dynamic agent ID — value canonical"
src/components/AlertPanel.svelte,36,case 'sibling': return 'SQD',"case 'sibling': return 'SQD';",internal-only,KEEP,,"Switch case on internal source string; output 'SQD' is squad-aligned"
src/components/AlertPanel.svelte,141,alert.siblingId,"<span style=""color: ..."">{alert.siblingId}</span>",internal-only,KEEP,,"Dynamic agent ID; field name internal per H-fe-2"
src/components/BuildDetailPanel.svelte,115,Siblings,"<!-- Siblings -->",internal-only,KEEP,,"HTML comment"
src/components/BuildDetailPanel.svelte,118,Siblings,"<h3 class=""section-title"">Siblings</h3>",replace,REPLACE,Agents,"Section header — user-visible"
src/components/KanbanCard.svelte,88,Phase dots + Sibling tags,"<!-- Row 3: Phase dots + Sibling tags -->",internal-only,KEEP,,"HTML comment"
src/components/KanbanCard.svelte,104,Sibling tags,"<!-- Sibling tags -->",internal-only,KEEP,,"HTML comment"
src/screens/BuildQueue.svelte,271,Siblings + status,"<!-- Row 3: Siblings + status -->",internal-only,KEEP,,"HTML comment"
src/screens/ProjectDetail.svelte,287,Siblings + blocked-by,"<!-- Row 3: Siblings + blocked-by -->",internal-only,KEEP,,"HTML comment"
src/components/ScopeRail.svelte,61,SIBLING ACTIVATIONS,"SIBLING ACTIVATIONS",replace,REPLACE,AGENT ACTIVITY,"Header label in oscilloscope rail (visible above per-agent waves)"
src/screens/setup/InitStep.svelte,5,sibling: 'QUANTUM',"{ polytope: 'Pentachoron', sibling: 'QUANTUM' }",internal-only,KEEP,,"Object key in setup banner data; value is agent name"
src/screens/setup/InitStep.svelte,52,sibling-name,"<span class=""sibling-name"">/ {s.sibling}</span>",internal-only,KEEP,,"CSS class name; value rendered is uppercase agent name"
src/screens/setup/InitStep.svelte,76,.sibling-name,".sibling-name { font-family:'IBM Plex Mono',monospace;",internal-only,KEEP,,"CSS selector; not user-visible text"
src/screens/setup/BackendStep.svelte,63,Choose Backend,"<h2 class=""title"">Choose Backend</h2>",replace,REPLACE,Choose Provider,"Setup page H2; per manifest Backend→Provider"
src/screens/setup/BackendStep.svelte,64,Select the AI provider for your agent session,"<p class=""hint"">Select the AI provider for your agent session</p>",anchor,KEEP,,"Already says 'provider' and 'agent' — canon-correct"
src/screens/setup/BackendStep.svelte,89,Back,"← Back",anchor,KEEP,,"Generic UI verb"
src/screens/setup/ModelStep.svelte,45,$selectedBackend ?? 'agent',"Select the model for your {$selectedBackend ?? 'agent'} session",replace,REPLACE,$selectedProvider ?? 'agent',"Hint copy; field name change deferred but display logic should treat it as Provider"
src/screens/setup/ModelStep.svelte,52,No models available for this backend.,"<div class=""empty"">No models available for this backend.</div>",replace,REPLACE,No models available for this provider.,"Empty state"
src/screens/setup/AuthStep.svelte,122,sent once to the backend,"<p class=""key-note"">Never stored in browser storage — sent once to the backend.</p>",replace,REPLACE,sent once to the provider,"Key-note copy"
src/screens/setup/AuthStep.svelte,127,onclick={() => step.set('backend')},"<button class=""btn-back"" onclick={() => step.set('backend')}>← Back</button>",internal-only,KEEP,,"Step ID is internal state machine key; visible text is just '← Back'"
src/components/SettingsOverlay.svelte,57,Backend Settings,"<span class=""panel-title"">Backend Settings</span>",replace,REPLACE,Provider Settings,"Settings overlay panel title"
src/components/SettingsOverlay.svelte,63,$persistedConfig.backend,"Current: <strong>{$persistedConfig.backend}</strong>",internal-only,KEEP,,"Renders dynamic provider ID value"
src/components/SettingsOverlay.svelte,68,Backend,"<div class=""section-label"">Backend</div>",replace,REPLACE,Provider,"Settings overlay section label"
src/components/SettingsOverlay.svelte,39,toast = `Switched to ${pickedBackend}`,"toast = `Switched to ${pickedBackend}`;",internal-only,KEEP,,"Toast value is dynamic provider ID"
src/components/CompactionPanel.svelte,2,Phase 16b — SITREP compaction panel,"// Phase 16b — SITREP compaction panel.",internal-only,KEEP,,"Source comment — not user-visible"
src/components/CompactionPanel.svelte,101,Keep newest per sibling,"Keep newest per sibling:",replace,REPLACE,Keep newest per agent,"User-visible label in compaction policy form"
src/components/CompactionPanel.svelte,160,{sibling} ({group.length}),"{sibling} ({group.length})",internal-only,KEEP,,"Dynamic agent ID heading in candidate list"
src/components/Helix3D.svelte,1198,pulse.sibling,"<span class=""text-[#FFD700]/70"">{pulse.sibling}</span>",internal-only,KEEP,,"Dynamic agent ID rendered in 3D pulse overlay"
src/components/HelixSkinEditor.svelte,67,Strands,"group: 'Strands'",flavor,KEEP-WITH-TOOLTIP,,"Skin editor group label; strand is flavor — tooltip: 'A strand is one agent\'s contribution to the helix'"
src/components/HelixSkinEditor.svelte,68,Strands,"group: 'Strands'",flavor,KEEP-WITH-TOOLTIP,,"Same"
src/components/HelixSkinEditor.svelte,83,Strand brightness,"label: 'Strand brightness'",flavor,KEEP-WITH-TOOLTIP,,"Slider label — strand is flavor"
src/screens/SquadDispatch.svelte,1,SQUAD DISPATCH,"(file)",anchor,KEEP,,"File already uses anchor terminology throughout (per build #3 already-completed rename)"
